firmenId,firma,firmaQuelle
1102,Johann Bernini und Gebrüder,Johann gebrüeder Bernini
1103,Martin Spitalmillner und Michael Gruber,"Marthin Spittallmillner, und Michael Grueber"
1104,Johann Georg Schalkhammer und Wittmann,Joh Geörg Schalhamber und Wittman
1105,Jakob Mayr sel. Erben,Jacob Mayr see: erben
1106,Christoph Lotter und Johann Georg Lotter,Chrüstoph und Joh. Georg Lotter
1107,Gebrüder Deller,"Deller gebrüeder, Beller gebrüeder"
1108,Lorenz Pogner & Co.,Lorenz Pogner et comp:
1109,Bernhard Rännagl sel. Sohn,Bernh. Rännagl see. söhn
1110,Ehrenreich Rehrer sel. Witwe,Ehrnreich Rehrers seel. wittib
1111,Johann Christoph sel. Sohn,Johann Chrüstoph sel. sohnn
1112,Jaccoud und Ghezzi,Jaccoud et Ghezzi
1113,Joseph Kaufmann & Co.,Joseph Kauffman et cons.
1114,Johann Zacharias Kriner & Co.,Johann Zacharias Krümer et comp.
1115,Sebastian Denk & Co,Sebastian Denkh et Compag.
1116,Georg Christoph Schmid sel. Witwe,Geörg Christ: Schmidt see: wittib
1117,Johann Prelath sel. Witwe,Johan Prelath see: wittib
1118,Johann Ulrich Stapf sel. Witwe,Johann Ulrich Stapff see: wittib
1119,Johann Storch und Franz Huber,Johann Storch unnd Franz Hueber
1120,Heinrich Zilliax sel. Erben,Heinrich Zilliax see: erben
1121,Wolf Jammerpaur sel. Witwe,Wolf Jamerpaur see: witib
1122,Mentl und Kaltschmid,Mentl unnd Kaltschmidt
1123,Johann Jakob Pfalzer sel. Erben,Johann Jacob Pfalzer see erben
1124,Jakob Deantaingnes sel. Witwe,Jacob Deantaingnes see: wittib
1125,Florentin und Tausch,Florenthin und Tausch
1126,Gebrüder Kraer,Kraer gebrüeder
1127,Paul Adan und Miller,Paul Adan und Miller
1128,Kolpacher und Tieth,Kolpacher unnd Tieth
1129,Reichard Wilhelm sel. Witwe,Reichard Wilhalmb von Steur seel: wittib
1130,Piat sel. Erben,"Piat. erben v. Passau, Piats seel. erben"
1131,Peter Margarat & Co.,Peter Margarat et compag.
1132,Leonhard Flacher & Co.,Leonhard Flacher et consort
1133,Johann Gruber und Veit Röckl,Hannß Grueber und Veith Räckhl
1134,Wolf Schieghofer und Magdalena Wörndlin,Wolf Schierckhofer und Magdalena Werndlin
1136,Gebrüder Buer,Buer gebrüeder
1137,Johann Paul Rössler sel. Erben,
1138,Feigl und Farquet,
1139,Georg Memler und Paul Memler,Geörg und Paul Memler
1140,Joseph Garucki und Gebrüder,Joseph Garuckhi und gebrüeder
1141,Kaspar Greiner und Horer,
1142,Thomas Schweiger & Co.,
1143,Marx Krueger sel. Witwe und Erben,Marx Grueger seel. wittib und erben
1144,"Johann Hofer von Wesenufer, Elias Sunzenauer von Wesenufer, Simon Andlanger von Engelhartszell","Johann Hofer unnd Eliaß Sunsenauer von Wesenuefer, item Simon Andlanger von Englzehl"
1145,Ramut und Bergin,Ramut unnd Bergin
1146,Peisser und Provino,Peisser und Provino
1147,Philip & Co.,Philio et comp: 
1148,Johann Fabichler sel. Witwe,"Joh. Fabichlers Wittib, Johann Fapichler seel. Wittib"
1149,Daniel Schlesinger und Gabriel Schlesinger,"Daniel und Gabriel Schlessinger, Daniel Gabriel Schlessinger"
1150,Georg Fahrenbacher sel. Witwe,Geörg Fahrnbachers seel. wittib
1151,Brentano Cimarolli und Brentano Martinelli,Brendano Cimeroli et Brendano Mardinelli
1152,Frei,
1153,Michael Redl & Co.,Michael Redl et consortes 
1154,Johann Christoph Meisgeyer sel. Witwe,Johann Chrüstoph Meyssgeyrs seel. wittib
1156,Martin Peyerl sel. Witwe,Marthin Peyrl see: wittib
1157,Gaun und Gablier,Gaun unnd Gablier
1158,Isaak Buirette & Sohn,Isaac Buirette unnd sohn
1159,Johann Botter und Georg Botter,Johann unnd Geörg Botter
1160,Jakob Martinelli und Anton Martinelli,Jacob unnd Ant: Martinelli
1161,Kraft und Silberdrexler,Kraft und Silberdrexler
1162,Christian Ozlberger und Georg Perger,Johann Georg Perger und Christian Ozlberger
1163,"Johann Hofer von Wesenufer, Elias Sunzenauer von Wesenufer, Urban Lechner von der Freizell","Johann Hoffer von Wesenu., Eliaß Sunzenauer alda unnd Urban Lechner von der Freyzehl"
1164,Matthias Bitl & Co,Madhias Bitl et Comp.
1165,Loschge und Benz,Loschge und Benz
1166,Heinrich Wögerpaur und Simon Stängl,"Hainrich Wögerpaur, unnd Simon Stängl"
1167,Philipp Jäger und Co.,
1168,Gebrüder Simtmer,Gebrüder Simtmer
1169,Martin Mauzenbeck & Co.,
1170,Martin Leger & Co.,Marthin Legar et consortes
1171,Joseph Brentano und Gebrüder,Joseph gebrieder Prentan
1172,Prandmayr & Co,Prandmayr et Cons.
1173,Wenzl und Kaltschmid,Wenzl und Kaltschmid
1174,Martin Spitalmillner und Johann Gruber,Marth: Spittalmillner und Joh: Grueber
