personenId,herkunft,herkunftname
287,119,Schwaz
288,175,Neuburg am Inn
23092,239,Bogen
291,4,Aschach
560,13,Obernzell/Hafnerzell
293,11,Regensburg
297,27,Wien
299,27,Wien
301,27,Wien
306,27,Wien
308,27,Wien
309,27,Wien
315,2,Nürnberg
319,2,Nürnberg
321,15,Ulm
24051,3,Linz
324,10,Passau
325,81,Gmunden
326,4,Aschach
328,5,von der Mühl
329,55,Putzleinsdorf
330,45,Lembach
331,82,Braunau (am Inn)
332,45,Lembach
333,41,Deggendorf
334,32,München
336,30,Laufen
337,8,Kufstein
339,42,Hallein
5729,103,Haslach
341,8,Kufstein
342,4,Aschach
343,225,Neuhaus (an der Donau)
344,44,Ottensheim
345,8,Kufstein
347,15,Ulm
350,15,Ulm
351,15,Ulm
352,15,Ulm
353,15,Ulm
354,15,Ulm
355,15,Ulm
358,72,Burglengenfeld
359,45,Lembach
360,30,Laufen
364,28,Freizell/Marsbachzell
366,62,Augsburg
376,6,Langhalsen
377,3,Linz
378,83,Häuseln
379,11,Regensburg
381,11,Regensburg
383,27,Wien
385,27,Wien
388,27,Wien
389,27,Wien
390,27,Wien
391,27,Wien
393,2,Nürnberg
394,27,Wien
397,27,Wien
398,2,Nürnberg
401,27,Wien
403,27,Wien
404,32,München
562,9,Hall
406,13,Obernzell/Hafnerzell
410,9,Hall
412,3,Linz
413,8,Kufstein
36469,27,Wien
425,5,von der Mühl
426,10,Passau
427,13,Obernzell/Hafnerzell
429,8,Kufstein
431,225,Neuhaus (an der Donau)
432,46,Tyrlaching
442,2,Nürnberg
444,55,Putzleinsdorf
445,22,Straubing
447,2,Nürnberg
450,3,Linz
451,2,Nürnberg
452,11,Regensburg
454,3,Linz
455,47,Schönberg
467,11,Regensburg
471,27,Wien
472,27,Wien
478,27,Wien
484,32,München
485,28,Freizell/Marsbachzell
12977,54,Wasserburg
490,27,Wien
494,48,Kasten (an der Donau)
495,27,Wien
498,30,Laufen
501,42,Hallein
505,32,München
506,11,Regensburg
559,28,Freizell/Marsbachzell
508,85,Einöd (Passau)
509,17,Steyr
510,30,Laufen
567,27,Wien
512,86,Mittenwald
513,86,Mittenwald
9565,10,Passau
519,13,Obernzell/Hafnerzell
520,49,Stadtamhof
522,30,Laufen
525,3,Linz
529,2,Nürnberg
530,87,von der Au
532,50,Emmersdorf (an der Donau)
535,88,Weitenegg
537,225,Neuhaus (an der Donau)
538,8,Kufstein
540,66,von der Ranna
541,3,Linz
