angaben_scansId,angabenId,scanId
229,186,3782
230,187,3782
231,188,3783
232,189,3783
233,190,3783
234,191,3783
235,192,3783
236,193,3783
237,194,3784
238,195,3784
239,196,3784
240,196,3785
241,197,3785
242,198,3785
243,199,3785
244,200,3785
245,201,3785
246,202,3785
247,203,3786
248,204,3786
249,205,3787
250,206,3787
251,207,3787
252,208,3787
253,209,3787
254,210,3788
255,211,3788
256,212,3788
257,213,3788
258,214,3788
259,215,3788
260,216,3788
261,217,3789
262,218,3789
263,219,3789
264,220,3789
265,221,3789
266,222,3789
267,223,3790
268,224,3790
269,225,10
270,226,10
271,227,10
272,228,10
273,229,11
274,230,11
275,231,11
276,232,11
277,233,11
278,234,11
279,235,3791
280,236,3791
281,237,3791
282,238,3791
283,238,3792
284,238,3793
285,239,3793
286,240,3793
287,241,3793
288,242,3793
289,242,3794
290,242,3795
291,242,3796
292,243,3796
293,244,3796
294,245,3796
295,246,3797
296,247,3797
297,248,3797
298,249,3797
299,250,3797
300,251,3797
301,251,3798
302,251,3799
303,251,3800
304,251,3801
305,252,3802
306,253,3802
307,254,3802
308,255,3803
309,256,3803
310,257,3803
311,258,3803
312,259,3803
313,260,3804
314,261,3804
315,262,3804
316,263,3804
317,263,3805
318,264,3805
319,264,3806
320,265,3806
321,266,3806
322,267,3806
323,268,3806
324,268,3807
325,269,3807
326,270,3807
327,271,3807
328,272,3807
329,273,3807
330,274,3808
331,275,3808
332,276,3808
333,277,3808
334,278,3808
335,279,3808
336,280,3809
337,281,3809
338,282,3809
339,283,3809
340,284,3809
341,285,3809
342,286,3810
343,287,3810
344,288,3810
345,289,3810
346,290,3810
347,291,3810
348,292,3811
349,293,3811
350,294,3811
351,295,3811
352,296,3811
353,297,3811
354,298,3812
355,299,3812
356,299,3813
357,299,3814
358,299,3815
359,300,3816
360,301,3816
361,302,3816
362,302,3817
363,302,3818
364,302,3819
365,302,3820
366,302,3821
367,303,3821
368,304,3821
369,305,3821
370,306,3821
371,307,3822
372,308,3822
373,309,3822
374,309,3823
375,310,3823
376,311,3824
377,312,3824
378,313,3824
379,314,3824
380,315,3824
381,316,3824
382,317,3825
383,318,3825
384,319,3825
385,319,3826
386,319,3827
387,320,3827
388,321,3828
389,322,3828
390,323,3828
391,324,3828
392,325,3828
393,326,3829
394,326,3830
395,327,3830
396,328,3830
397,329,3830
398,330,3830
399,331,3830
400,332,3831
401,333,3831
402,334,3831
403,335,3831
404,336,3831
406,337,3832
407,338,3832
408,339,3832
409,340,3832
410,340,3833
411,341,3833
412,342,3833
413,343,3833
414,344,3833
415,345,3833
416,346,3834
417,347,3834
418,348,3834
419,349,3834
420,350,3835
421,351,3835
422,352,3835
423,353,3835
424,354,3835
425,354,3836
426,355,3836
427,355,3837
428,355,3838
429,356,3838
430,357,3838
431,358,3838
432,358,3839
433,359,3840
434,359,3841
435,359,3842
436,359,3843
437,360,3843
438,361,3843
439,362,3844
440,363,3844
441,364,3844
442,365,3844
