ladung_zielortId,ladungId,zielort
1217,32177,27
1218,32207,4
1219,32244,10
1220,32246,10
1221,32312,3
1222,32317,10
1223,32318,27
1224,32332,3
1225,32337,3
1226,32365,27
1227,32373,3
7910,32381,27
1229,32405,27
1230,32428,27
1231,32496,3
1232,32614,27
1233,32669,4
1234,32676,27
1235,32766,27
1236,32799,27
1237,32831,3
1238,32835,3
1239,32836,3
1240,32975,112
1241,33006,1
1242,33008,148
1243,33010,4
1244,33086,3
1245,33088,3
1246,33114,27
1247,33134,27
1248,33168,179
1249,33169,3
1250,33215,27
1252,33241,4
1253,33323,27
1254,33346,4
1256,33440,27
1257,33441,3
1258,33442,112
1259,33466,27
1260,33503,103
1261,33507,1
1262,33530,239
1263,33583,1
1264,33586,27
7907,237492,112
1266,32118,4
1267,33665,10
1268,33667,11
1269,33676,3
1270,33677,3
1271,33739,281
1272,33743,100
1273,33843,493
1274,33878,27
1275,33926,3
1276,33928,148
1277,33931,27
1278,33937,3
1279,33942,3
1280,33943,44
1281,33949,3
1282,33995,4
1283,34138,3
7937,238080,3
1285,34190,3
1286,34222,11
1287,34223,11
1288,34226,11
1289,34231,22
1290,34358,10
7941,238161,4
7940,238139,162
1293,34370,27
1294,34465,3
1295,34467,3
1296,34479,27
1297,34482,4
1298,34483,144
1299,34486,33
1300,34621,3
1301,34636,3
1302,34637,74
1303,34642,3
1304,34644,199
1305,34649,3
1306,34658,3
1307,34664,3
1308,34665,3
1309,34668,3
1310,34680,3
1311,34688,1
1312,34691,3
1313,34698,3
8209,36671,10
1315,34750,1
1316,34753,3
1317,34801,25
1318,34948,27
1319,34993,27
1320,35093,3
1321,35151,10
1322,35152,10
1323,35250,3
1324,35293,3
1339,35711,27
1326,35377,27
1327,35380,27
1328,35419,3
1329,35445,27
1330,35446,27
1331,35472,27
1332,35479,3
1333,35484,179
1334,35485,3
1335,35507,1
1336,35545,379
7048,36387,27
1338,33738,511
1340,35740,3
1341,35873,3
1342,35897,112
1343,36051,89
1344,36054,533
1345,36059,11
1455,39473,551
1456,39476,3
1457,39495,11
1349,36092,534
1350,36119,4
1351,36138,27
1352,36139,167
1353,36142,25
1354,36143,3
1355,36146,3
1356,36147,3
1357,36157,11
1358,36168,10
1453,39435,550
1454,39442,27
1361,36175,4
5563,161485,27
1363,36223,3
1364,35826,248
1365,36230,248
1366,36302,27
1367,36304,535
1368,36317,3
1369,36376,3
1370,36388,27
1371,36410,4
1372,36483,3
1373,36502,27
1374,36531,3
1375,36609,27
1376,36611,112
1377,36619,27
1378,36623,3
1379,36627,3
1380,36655,27
1381,36755,3
1382,36807,10
1383,36816,3
1384,36827,27
1385,37012,27
1386,37119,3
1387,37121,4
1388,37132,29
1389,37200,27
1390,37401,27
1391,37413,27
1392,37426,27
1393,37501,11
1394,37506,27
1395,37508,27
1396,37572,112
1397,37596,3
1398,37683,27
1399,37710,148
1400,37720,44
1401,37729,52
1402,37739,346
1403,37742,10
1404,37743,55
1405,37744,3
1406,37763,3
1407,37764,27
1408,37766,27
1409,37821,3
7057,210028,3
1411,37974,11
1412,37987,3
1413,38053,11
1414,38054,3
1415,38064,27
1416,38157,148
1417,38282,27
1418,38372,3
1419,38440,27
1420,38442,27
1421,38510,3
