nachnameId,nachname,nachname_quelle,nachname_bemerkungen
151,de Trevani,"de Trevanno, Trevanno, de Trovanno, de Trefano, de Travanno, de Terfano, de Trecano, v. Trevano, de Drevano, Trevano, de Drevanno, Trevanno, Dervanno, de Trevoni, Travano, de Tretanta",
153,Reich,"Reich, Raich, Reuch",
154,Wolfensberger,"Wolffesberger, Wolffensperger",
155,Perlinger,"Perlinger, Berlinger, Pellinger",
156,Weinbrenner,"Weinprener, Weinbrener",
157,Schwer,"Schwer, Schwerr",
158,Vareille,"Vareille, Varelli, Vareillie
",
159,Löschenkohl,"Löschenkholl, Leschemkohl, Leschenkalch, Leschenkol, Leschnkalch",
160,Stietga,"Stietga, Stiega",
161,Koch,Koch,
162,Gerosa,"Gerosa, Gerossa, Gerova, Gevasa, Gervosa",
163,Franzoni,"Franzano, Franzani, Franzon, Franzoni, Fränyano, Frazona, Francäno",
164,Imminger,"Iminger, Imminger, Imünger",
166,Salle,"Salle, Salee, Sale, Sölle, Salles, Soller, Sarller",
167,Wehrl,"Wehrl, Werl, Wöhrle, Wührl, Werll, Wehrll, Wöhrl",
168,Pracher,"Pracher, Praher, Prager",
169,Schönfeldner,"Schönfeldner, Schenfeldner",
170,Monath,"Monath, Monat, Moneth, Monet, Moreth",
171,Resch,"Resch, Retsch, Riesch, Gritsch, Reesch, Rösch, Reisch",
172,Le Goux,"Lee Goux, Le Gusse, Le Gouse, Lee Guose, Lee Guox, Le Gonse, de Goux, Legoux, le Gouxe",
208,Mehofer,"Mehofer, Mahofer, Nehofer",
174,Preissl,"Preyssl, Preusl, Preysl, Preußl, Preiss, Prinsl, Preisell, Presl",
176,Arnsteiner,"Arnstain, Arnstainer, Ohrnstain, ",
177,Wührer,"Wührer, Würer, Wierer, Wiehrer, Wüehrer, Wichrer, Pöhrer",
178,Penzeneder,"Penzeneder, Pentenzeder, v. Penzeneder",
179,Dußl,"Dußl, Dussl, Duschl, Diessel, Dußel, Duscher, Tuschl",
180,Haider,"Haider, Heider, Haiden, Hayden, Haydan, Heyder, Häudter, Haydter, Häder, Hader",Vermutlich identisch mit Haidinger und Haiedinger
182,Mohr,"Mohr, Muhr",
183,Breunlein,"Breunlein, Bräunlein, Präunlein, Braunlein, Preunlein",
184,Allersperger,Allersperger,
185,Dehner,"Dehner, Dehnner, Dehmer, Denner, Dhenner, Dener, Dechner, Demer, Thenner, Decher
	",
186,Römler,"Rämler, Remler, Römler, Romler, Rembler",
187,Dimpfl,"Dimpfl, Dimpffl, Dimpfel",
188,Dagin,"Dagin, Dogin, Däggin, Dagen, Dägin, Dogein, Dagoin",
189,Augustin,"Augustin, Augustini, August, Augusti, Augusty",
190,Hertl,"Hertl, Herdl, Hertel, Hördl, Hertli",
