fahrzeugId,personenId,herkunft,region,maut_fl,maut_s,maut_d,fahrtrichtungId
73298,406,13,38,,,16,2
73299,2161,204,6,,,16,1
73300,13986,26,6,,,6,2
73301,4572,13,38,,,16,2
73302,18419,2,4,,,6,2
73303,3321,10,38,,,16,2
73304,1469,83,6,,,6,2
73305,17856,27,1,,1,2,2
73306,1457,9,5,,,16,2
73307,2351,100,2,,1,2,2
73308,88,3,6,,,16,1
73309,1459,13,38,,,16,2
73310,522,30,34,,,6,2
73311,16458,66,6,,,18,2
73312,88,3,6,,1,2,1
73313,1325,16,41,,2,12,2
73314,17258,32,2,,1,18,2
73315,8308,66,6,,,16,1
73316,543,29,6,,,16,2
73317,204,10,38,,,16,2
73318,1351,60,2,,3,14,2
73319,34743,11,122,,,6,2
73320,204,10,38,,,16,2
73321,15428,66,6,,1,2,1
73322,1584,159,43,,1,18,2
73323,3381,95,6,,1,2,2
73324,558,225,6,,,16,1
73325,4941,225,6,,,6,2
73326,10168,579,2,,,16,2
73327,18888,410,38,,,18,2
73328,34745,29,6,,1,4,2
73329,1910,29,6,,,16,2
73330,18710,9,5,,,16,2
73331,19071,30,34,,,16,2
73332,214,30,34,,,16,2
73333,3534,11,122,,2,4,2
73334,740,59,2,,1,2,2
73335,1172,60,2,,1,18,2
73336,204,10,38,,,16,1
73337,17968,4,6,,,6,2
73338,6612,62,148,,,24,2
73339,19092,17,6,,1,2,2
73340,1286,16,41,,7,6,2
73341,17434,30,34,,,16,2
73342,2441,28,6,,,16,2
73343,222,5,6,,,16,2
73344,21232,10,38,,,16,2
73345,1910,29,6,,,16,1
73346,4955,225,6,,,6,2
73347,4370,15,3,,,16,2
73348,263,3,6,,,6,2
73349,18487,9,5,,,16,2
73350,207,10,38,,,16,2
73351,19322,899,2,,2,12,2
73352,30413,29,6,,,16,1
73353,209,10,38,,,16,2
73354,200,13,38,,,16,2
73355,8842,10,38,,,16,2
73356,1967,29,6,,,16,2
73357,7187,26,6,,,16,2
73358,734,32,2,,,16,2
73359,23497,11,122,,,16,2
73360,21232,10,38,,,16,1
73361,2870,4,6,,1,2,1
73362,1803,174,6,,4,24,2
73363,2441,28,6,,,16,1
73364,18349,4,6,,,16,2
73365,259,13,38,,,16,2
73366,17639,320,2,,,16,2
73367,177,10,38,,,16,2
73368,2870,4,6,,,16,2
73369,10892,9,5,,,16,2
73370,23785,815,38,,4,24,2
73371,16761,66,6,,,6,2
73372,9305,10,38,,,16,2
73373,1475,66,6,,,16,2
73374,640,225,6,,,18,2
73375,14701,225,6,,,18,2
73376,6592,30,34,,,16,2
73377,16399,2,4,,,6,2
73378,2994,250,6,,,6,2
73379,204,10,38,,,16,2
73380,1475,66,6,,,6,2
73381,3601,13,38,,,16,2
73382,1479,61,2,,1,18,2
73383,3242,8,5,,,16,2
73384,6886,13,38,,,22,2
73385,727,15,3,,,16,2
73386,4097,175,6,,3,6,2
73387,34626,180,2,,,6,2
73388,2142,25,6,,,16,2
73389,210,10,38,,,16,2
73390,20229,4,6,,,16,2
73391,7830,178,42,,,16,2
73392,3601,13,38,,1,8,1
73393,18403,3,6,,,6,2
73394,34008,60,2,,6,12,2
73395,23276,60,2,,,16,1
73396,34758,60,2,,,24,2
73397,18456,5,6,,,18,2
73398,1190,10,38,,,16,2
73399,494,48,38,,,16,2
73400,34620,92,2,,,16,2
73401,14701,225,6,,,18,2
