fahrzeug_anzahlTypId,leer
29398,1
29416,1
29448,1
29454,1
29477,1
29545,1
29605,1
29620,1
29629,1
29662,1
29683,1
29692,1
29703,1
29710,1
29715,1
29751,1
29762,1
29821,1
29837,1
29839,1
29840,1
29854,1
29868,1
29880,1
29888,1
29901,1
29932,1
29935,1
29958,1
29984,1
29987,1
30001,1
30010,1
30071,1
30085,1
30088,1
30089,1
30165,1
30192,1
30265,1
30266,1
30278,1
30279,1
30280,1
30281,1
30288,1
30325,1
30370,1
30373,1
30398,1
30408,1
30443,1
30453,1
30493,1
30497,1
30511,1
30543,1
30552,1
30594,1
30599,1
30603,1
30624,1
30643,1
30664,1
30684,1
30705,1
30706,1
30711,1
30712,1
30713,1
30719,1
30730,1
30746,1
30748,1
30754,1
30763,1
30765,1
30767,1
30774,1
30800,1
30804,1
30821,1
30834,1
30848,1
30860,1
30864,1
30866,1
30867,1
30881,1
30885,1
30905,1
30912,1
30914,1
30938,1
30945,1
30963,1
30986,1
31024,1
31027,1
31044,1
31054,1
31064,1
31103,1
31108,1
31114,1
31115,1
31136,1
31181,1
31185,1
31210,1
31272,1
31355,1
31405,1
31406,1
31407,1
31409,1
31427,1
31439,1
31444,1
31450,1
31457,1
31470,1
31477,1
31480,1
31481,1
31493,1
31495,1
31499,1
31521,1
31522,1
31574,1
31599,1
31605,1
31620,1
31649,1
31681,1
31693,1
31712,1
31730,1
31758,1
31797,1
31798,1
31804,1
31826,1
31840,1
31896,1
31901,1
31947,1
31959,1
32000,1
32007,1
32009,1
32072,1
32137,1
32162,1
32163,1
32173,1
32207,1
32233,1
32238,1
32239,1
32259,1
32279,1
32293,1
32303,1
32312,1
32333,1
32348,1
32366,1
32381,1
32382,1
32419,1
32444,1
32494,1
32496,1
32525,1
32543,1
32568,1
32611,1
32616,1
32637,1
32656,1
32684,1
32763,1
32766,1
32779,1
32822,1
32823,1
32825,1
32827,1
32838,1
32845,1
32852,1
32868,1
32891,1
32932,1
32937,1
32939,1
32948,1
32951,1
32959,1
33008,1
33024,1
33042,1
33066,1
33071,1
33091,1
33100,1
33177,1
33178,1
33183,1
33201,1
33250,1
33251,1
33258,1
33265,1
33271,1
33277,1
33290,1
33315,1
33420,1
33423,1
33425,1
33430,1
33431,1
33441,1
33459,1
33476,1
33483,1
33484,1
33525,1
33543,1
33590,1
33592,1
33594,1
33601,1
33617,1
33655,1
33669,1
33695,1
33699,1
33719,1
33753,1
33766,1
33824,1
33828,1
33834,1
33840,1
33863,1
33875,1
33896,1
33899,1
33916,1
33931,1
33954,1
33958,1
34007,1
34011,1
34035,1
34036,1
34038,1
34042,1
34043,1
34055,1
34065,1
34072,1
34086,1
34115,1
34121,1
34133,1
34142,1
34170,1
34192,1
34199,1
34200,1
34207,1
34213,1
34246,1
34263,1
34299,1
34304,1
34310,1
34314,1
34318,1
34319,1
34320,1
34355,1
34384,1
34416,1
34448,1
34468,1
34504,1
34508,1
34509,1
34524,1
34537,1
34543,1
34569,1
34578,1
34602,1
34606,1
34608,1
34630,1
34662,1
34663,1
34672,1
34681,1
34703,1
34709,1
34712,1
34721,1
34722,1
34725,1
34741,1
34742,1
34757,1
34759,1
34760,1
34773,1
34783,1
34794,1
34805,1
34836,1
34837,1
34906,1
34916,1
34924,1
34932,1
34942,1
34953,1
34983,1
35003,1
35011,1
35014,1
35077,1
35082,1
35092,1
35150,1
35155,1
35158,1
35168,1
35205,1
35226,1
35227,1
35228,1
35229,1
35287,1
35297,1
35301,1
35315,1
35345,1
35381,1
35392,1
35400,1
35402,1
35426,1
35453,1
35471,1
35472,1
35474,1
35476,1
35484,1
35489,1
35504,1
35511,1
35523,1
35529,1
35657,1
35672,1
35693,1
35696,1
35748,1
35833,1
35994,1
36009,1
36031,1
36033,1
36058,1
36065,1
36070,1
36075,1
36076,1
36099,1
67469,1
36158,1
36159,1
