angaben_passagiereId,personenId,angabenId,zielort,judenleibmaut,judenleibmaut_fl,judenleibmaut_s,judenleibmaut_d,bemerkungen,passagiereOrder
1078,16,5458,,,,,,,
1079,5714,5460,,,,,,,
1080,1587,5467,,,,,,,
1081,5090,5469,,,,,,,
1082,284,5476,27,,,,,,
1083,15,5488,3,,,,,,
1084,17,5494,,,,,,,
1085,16,5496,,,,,,,
1086,554,5505,112,,,,,,
1087,16,5507,,,,,,,
1088,17,5508,,,,,,,
1089,788,5511,,,,,,,
1090,5117,5515,3,,,,,,
1091,17,5524,,,,,,,
1092,1382,5527,,,,,,,
1093,5744,5528,,,,,,,
1094,16,5530,,,,,,,
1095,41,5532,,,,,,,
1291,1587,5566,10,,,,,,
1097,16,5537,,,,,,,
1098,5394,5554,,,,,,,
1099,5768,5561,,,,,,,
1100,17,5564,,,,,,,
1292,1587,5586,,,,,,,
1102,16,5567,,,,,,,
1103,16,5568,,,,,,,
1104,16,5572,3,,,,,,
1105,5777,5573,27,,,,,,
1106,1354,5577,,,,,,,
1107,16,5578,3,,,,,,
1109,672,5590,,,,,,,
1110,16,5591,3,,,,,,
1111,16,5601,148,,,,,,
1112,1587,5607,,,,,,,
1113,16,5611,,,,,,,
1114,5810,5622,27,,,,,,
1115,5814,5626,11,,,,,,
6526,18009,31363,11,,,,,,
1117,672,5630,,,,,,,
1118,113,5633,11,,,,,,
17330,14258,19139,27,,,,,,
1120,5829,5652,27,,,,,,
1121,16,5659,,,,,,,
1122,16,5660,,,,,,,
1123,17,5662,,,,,,,
1124,16,5684,,,,,,,
1125,16,5687,,,,,,,
1126,5542,5688,27,,,,,,
1127,16,5700,,,,,,,
1128,16,5702,374,,,,,,
1129,16,5705,,,,,,,
1130,16,5713,,,,,,,
1131,17,5717,3,,,,,,
1132,909,5718,,,,,,,
1133,16,5723,,,,,,,
1134,16,5725,,,,,,,
1135,17,5727,,,,,,,
13719,10401,5733,,,,,,,
1137,5882,5733,,,,,,,
1138,1911,5740,,,,,,,
1139,5889,5747,,,,,,,
1140,15,5748,,,,,,,
1141,1587,5752,,,,,,,
1142,17,5763,,,,,,,
1143,16,5765,,,,,,,
1144,5895,5766,,,,,,,
1145,5896,5766,,,,,,,
1146,16,5767,,,,,,,
1147,1587,5771,,,,,,,
1148,15,5780,,,,,,,
1149,5902,5783,,,,,,,
1150,16,5786,,,,,,,
1151,1587,5791,,,,,,,
1152,16,5792,,,,,,,
1153,1840,5794,,,,,,,
1154,1587,5796,,,,,,,
1155,16,5808,,,,,,,
1156,17,5809,,,,,,,
1157,909,5810,,,,,,,
1158,1587,5813,,,,,,,
1159,17,5823,,,,,,,
9734,16,45942,,,,,,,
1162,5938,5828,27,,,,,,
