person_verknuepftId,personenId1,personenId2
616,8839,8400
6585,12708,5329
618,214,12270
619,11723,13913
620,14501,2481
621,2575,11778
622,2575,11914
623,2719,6028
624,14511,4972
625,828,3623
626,14526,2018
627,14526,4153
628,610,7158
629,14527,190
17000,32293,32677
631,1386,4409
632,14548,14103
633,14552,5297
634,789,9156
635,789,11960
636,9156,11960
11835,32230,17483
638,14566,14009
639,14567,10014
640,14570,6037
641,14572,4462
642,14577,14066
643,7518,11030
644,1471,8433
645,14587,6264
646,14607,8995
647,14610,718
648,14612,9725
649,14614,1427
650,4929,9733
1114,15903,666
652,14620,12234
653,14626,7916
654,14626,4557
655,14626,8337
656,14630,5570
657,14632,5296
658,14632,12578
659,14632,9454
660,14632,13719
661,14229,1033
662,14229,10168
663,14636,14055
664,14636,4305
665,14639,8076
666,14639,13236
668,14640,10997
669,14640,10388
670,14640,12388
671,14661,8289
672,14666,648
6267,16795,1889
674,4522,4472
675,14681,9468
774,14970,11295
677,7022,12123
6465,22999,2153
679,14686,1287
680,14686,4093
6368,7391,9114
683,14687,5055
4104,4456,9715
685,14700,7654
686,14705,2532
687,14706,14277
688,1796,2525
689,14709,2694
690,14712,10013
4803,22717,2644
692,14715,1870
693,14715,6090
5650,14616,9598
695,14727,6954
696,14729,14159
14494,38551,23906
14493,38551,22354
699,14736,965
700,14736,2853
701,14736,8053
3824,18582,4194
703,14759,2365
704,14769,7438
705,14769,13950
706,14776,11095
707,14776,14333
709,14780,621
710,14781,156
711,14781,4489
712,14781,1499
713,14781,11983
714,4169,4800
715,4770,10604
716,4770,7502
717,7502,10604
718,208,5468
719,208,7543
720,5468,7543
721,14790,10038
722,14791,10936
723,14792,6158
724,14797,10915
725,14797,14235
726,14802,13955
727,14803,1569
11757,31993,1689
729,14811,11441
730,14818,14337
731,14818,4052
732,14822,14635
9861,18585,25421
734,14825,13625
11438,7180,21525
736,14845,11584
16201,33161,29867
738,14854,364
739,14858,14301
740,14859,1515
741,14859,9466
742,14862,3442
743,14862,2504
744,14862,1668
745,14876,14240
746,3227,7597
747,14878,3033
748,14913,3876
749,14918,14220
750,19,6320
751,19,14915
752,19,13710
15739,19124,17268
754,14920,14032
755,14926,10093
763,1116,3185
761,7113,9808
762,617,9808
760,7113,617
764,1116,3674
765,3185,3674
13264,35958,18232
9545,28536,26168
768,14944,219
769,14944,2892
770,13683,7534
773,14963,9867
775,14970,1377
776,14975,7137
777,14975,3789
778,14990,1100
779,14992,668
780,15000,195
781,15006,2327
782,15006,8185
783,15006,12486
784,15012,6861
785,15014,478
786,15017,2625
787,15017,8266
788,15022,9492
789,15026,8802
790,15027,7447
791,4954,9612
796,15039,4158
797,15039,8806
798,15039,220
799,15046,8128
800,15046,11590
801,15046,11227
802,15046,14394
6643,23165,20688
6647,23178,12566
6646,23175,15237
6642,23161,10808
807,15051,1142
10406,29898,10735
809,15061,522
810,15070,12596
811,15075,12912
812,15078,11490
813,15078,11328
815,15088,11584
816,15088,14845
909,10839,5691
818,15106,13387
819,15115,8221
820,15115,4409
1014,15690,8105
11832,19639,934
823,15122,14020
15066,13421,13717
825,15125,7135
826,15127,6722
4138,946,7706
828,15128,8709
16081,39327,7340
831,15140,3701
6549,23070,12189
833,9482,5739
834,15152,15145
835,15164,14623
836,15167,13963
837,4980,11611
838,11538,5574
4664,19871,5914
4663,7508,7692
841,2478,9631
842,15182,836
843,15182,4656
3127,4972,6601
845,15187,819
846,15187,11007
847,15193,14699
4503,19357,19439
849,15197,1238
850,15197,2458
851,15200,15164
852,15209,4954
853,15209,9612
854,15215,14567
855,15215,10014
856,4294,4988
857,15217,12369
858,15217,8328
859,15221,2349
860,15224,13082
861,15230,14640
862,15231,8671
863,15231,5989
6710,9480,1546
865,15254,14095
866,15256,2284
867,15257,5382
2117,4133,5119
869,15285,812
